"Years","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Homeless population (People)","647258","639784","630227","637077","623788","621553","590364","576450","564708","549928","550996","552830","567715","580466","380630","582462"
"    By living situation",,,,,,,,,,,,,,,,
"        Sheltered (People)","391401","386361","403308","403543","392316","390155","394698","401051","391440","373571","360867","358363","356422","354386","326126","348630"
"            By family arrangement",,,,,,,,,,,,,,,,
"                Individuals  (People)","213073","204855","215995","212218","205834","199159","203127","209148","205616","198008","193144","194340","199531","199478","194749","204774"
"                People in families with children","178328","181506","187313","191325","186482","190996","191571","191903","185824","175563","167723","164023","156891","154908","131377","143733"
"        Unsheltered (People)","255857","253423","226919","233534","231472","231398","195666","175399","173268","176357","190129","194467","211293","226080",,"233832"
"            By family arrangement",,,,,,,,,,,,,,,,
"                Individuals  (People)","199627","199670","176136","182922","181779","182997","165047","151041","152806","157204","173441","178077","196514","209413",,"216146"
"                People in families with children","56230","53753","50783","50612","49693","48401","30619","24358","20462","19153","16688","16390","14779","16667",,"17337"
"    By age",,,,,,,,,,,,,,,,
"        Under 18 (People)",,,,,,,,,"127787","120819","114529","111592","107069","106364","84259","98244"
"        18 to 24 (People)",,,,,,,,,"52973","50001","50992","48319","45629","45243","28289","40177"
"        Over 24 (People)",,,,,,,,,"383948","379108","385475","392919","415017","428859","259107","444041"
"    By gender",,,,,,,,,,,,,,,,
"        Cisgender women (People)",,,,,,,,,"224344","217268","214975","216211","219911","223578","155990","222970"
"        Cisgender men (People)",,,,,,,,,"339075","330890","333049","332925","343187","352211","212835","352836"
"        Transgender people",,,,,,,,,"1289","1770","2088","2521","3255","3161","1544","3588"
"        Gender non-conforming (People)",,,,,,,,,,,"884","1173","1362","1460","627","3090"
"    By race",,,,,,,,,,,,,,,,
"        White (People)",,,,,,,,,"273746","265660","259675","270568","270607","280612","173389","291395"
"        Black (People)",,,,,,,,,"227937","215177","223690","219809","225735","228796","159975","217366"
"        Asian (People)",,,,,,,,,"6074","5603","6700","6643","7228","7638","4210","8261"
"        Native American (People)",,,,,,,,,"15136","15229","16741","15414","17966","18935","10030","19618"
"        Pacific Islander (People)",,,,,,,,,"8827","8734","8515","8039","9311","8794","4894","10461"
"        Multiple races (People)",,,,,,,,,"32988","39525","35675","32357","36868","35680","19910","35383"
"    By ethnicity",,,,,,,,,,,,,,,,
"        Non-Hispanic (People)",,,,,,,,,"452140","428629","432634","430354","443100","450107","290184","442220"
"        Hispanic (People)",,,,,,,,,"112568","121299","118362","122476","124615","130348","80459","140230"
"    By State",,,,,,,,,,,,,,,,
"        Alabama (People)","5452","5387","6080","6046","5558","5209","4689","4561","3970","4111","3793","3434","3261","3351","1949","3752"
"        Alaska (People)","1642","1646","1992","1863","2128","1913","1946","1784","1956","1940","1845","2016","1907","1949","2556","2320"
"        Arizona (People)","14646","12488","14721","13711","10504","11302","10562","10495","9896","9707","8947","9865","10007","10979","5460","13552"
"        Arkansas (People)","3836","3255","2852","2762","3424","4214","3812","2936","2560","2463","2467","2712","2717","2366","2139","2459"
"        California (People)","138986","136531","123678","123480","125128","120098","118552","113952","115738","118142","131532","129972","151278","161548","57468","171521"
"        Colorado (People)","14225","14747","15268","15482","15116","16768","9754","10028","9953","10550","10940","10857","9619","9846","8544","10397"
"        Connecticut (People)","4482","4627","4605","4316","4456","4209","4448","4450","4047","3902","3388","3976","3033","2905","2593","2930"
"        Delaware (People)","1061","933","1130","982","1035","1008","946","901","953","1070","994","1082","921","1165","1579","2369"
"        District of Columbia (People)","5320","6044","6228","6539","6546","6954","6865","7748","7298","8350","7473","6904","6521","6380","5111","4410"
"        Florida (People)","48069","50158","55599","57551","56687","55170","47862","41542","35900","33559","32190","31030","28328","27487","21121","25959"
"        Georgia (People)","19639","19095","20360","19836","20975","20516","16971","16521","13790","12909","10174","9499","10443","10234","5486","10689"
